compname,akadba,physaddr,physcity,physstate,physzip,vnumber,loccount,products,exec1,gender1,officermail1,title1,exec2,gender2,officermail2,title2,fnumber,nnumber,web,email,mailaddr,mailcity,mailstate,mailzip,yearestab,distribtyp,ownertype,sales,squarefeet,imports,exec3,gender3,gender3_d,title3,exec4,gender4,gender4_d,title4,exec5,gender5,officermail5,title5,exec6,gender6,officermail6,title6,exec7,gender7,officermail7,title7,exec8,gender8,officermail8,title8,exec9,gender9,officermail9,title9,exec10,gender10,officermail10,title10,parentname,parentcity,parentstat,onumber,header,advertiser,primarysic,sic2,companyid,datasource,bookid,newinyear,priority,addresserror,dpvfootnote,altphone,paddress,pzip5
POND FILTRATION,,102 Nash Dr.,Grafton,ND,58237,7013521164,2,Water garden pond filters,Bill Sand,M,Q,Pres.,,,,,7013521165,,www.pondfiltration.com,bsand@idealvalve.com,,,,,1992,N,S,-,"10,000",N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FI0520,No,3589,3089,90936,2020NDMR,NDMR,2005,9, ,AABB,,,
"DICKINSON PRESS, THE",,1815 1st St. W.,Dickinson,ND,58601,7012258111,47,Newspaper publishing,Harvey Brock,M,Q,Publisher & GM,Bob Carruth,M,,"Dir., Sales",7012254205,8002799150,www.thedickinsonpress.com,newsroom@thedickinsonpress.com,,,,,1883,L,I,-,,N,Joy Schoch,F,,Bus. & Hum. Res. Mgr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Forum Communications Co.,Fargo,ND,7012357311,NE0100,No,2711,,179143,2020NDMR,NDMR,1997,4, ,AABB,,101 5th St. N.,58102
"QUALITY PRINTING SERVICE, INC.",,2306 E. Broadway Ave.,Bismarck,ND,58501,7012553900,12,"Commercial, offset & digital printing & mailing services",George Keiser,M,,Pres.,Susan Pfeifer,F,Q,Off. Mgr.,7012220757,,www.qpsnd.com,bids@qpsnd.com,P.O. Box 1274,Bismarck,ND,58502,,L,I,-,"7,000",N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PR0440,No,2759,2752,179147,2020NDMR,NDMR,1997,5, ,AABB,,,
PROFESSIONAL PRINTING CO.,,39 Sims St.,Dickinson,ND,58601,7014838351,3,Commercial printing & typesetting,Leon Lorz,M,Q,Owner & Fin. Mgr.,Julie Lorz,F,,Graphic Designer,7014830640,8664838351,,proprint@proprinting.cc,,,,,1987,R,1,"under $500,000","4,000",N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PR0440,No,2759,2791,179148,2020NDMR,NDMR,1997,9, ,AABB,,,
"SIGNS & WONDERS, INC.",,535 Airport Rd.,Bismarck,ND,58504,7012223848,3,"Interior & exterior signs, banners, screen printing, CAD-cut vinyl lettering & graphics, digital printed decals, trade show displays & specialty wraps, including logo design & portable sign rentals",Richard F. Knodel,M,Q,"Ptnr., Pres., Fin., MIS & R & D Mgr.",Deanne Knodel,F,,Ptnr. & V-P.,7012220072,,,signs@bis.midco.net,,,,,1983,R,S,"under $500,000","2,500",N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI0120,No,3993,2396,179149,2020NDMR,NDMR,1997,9,V,AABB,,,
"SUPERIOR SILK SCREEN, INC.",,1030 S. 18th St.,Bismarck,ND,58504,7012587639,6,"Screen & digital printing of decals, t-shirts, magnetic, aluminum, plastic & corrugated signs, banners & advertising specialty items, including stickers & displays",Dwight Hegel,M,,Pres.,Kimberly Hegel,F,,"V-P., CFO",7012241200,8882587639,www.superiorsilkscreen.com,mail@superiorsilkscreen.com,,,,,1979,N,I,-,"6,000",N,Shirley Scherr,F,Q,Off. Mgr.,Chad Hegel,M,,IT Techn.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC0360,No,2759,2396,179150,2020NDMR,NDMR,1997,9, ,AABB,,,
"IMAGE PRINTING, INC.",,1803 E. Broadway Ave.,Bismarck,ND,58501,7012224000,46,Commercial & digital printing,Dave Nelson,M,Q,Pres.,Rick Hertz,M,,Sales Mgr.,7012557740,,www.imageprinting.com,image@imageprinting.com,P.O. Box 696,Bismarck,ND,58502,1994,N,I,$1Mil-$7Mil,"35,000",N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PR0440,No,2759,,179151,2020NDMR,NDMR,1997,4, ,AABB,,,
"DAKOTA SCREEN ARTS, INC.",,1013 S. 12th St.,Bismarck,ND,58504,7012249879,23,"Textile screen printing, embroidery & advertisting specialty items",Patty Poitra,F,,Ptnr. & Hum. Res. Mgr.,Randy Piatz,M,,Ptnr.,7012238532,,www.dakotascreenarts.com,,P.O. Box 2526,Bismarck,ND,58502,1985,N,S,$1Mil-$2.5Mil,"14,000",N,Cathy Job,F,Q,Off. Mgr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC0360,No,2396,2395,180063,2020NDMR,NDMR,1997,5,,,,,
"MODERN MACHINE WORKS, INC.",,921 E. Front Ave.,Bismarck,ND,58504,7012231375,22,Industrial machining job shop,Kris Lengenfelder,M,,"Pres., CFO",Kenneth Lengenfelder,M,,V-P.,7012556939,,www.sheavesanddrums.com,kris.mmw@midconetwork.com,P.O. Box 1415,Bismarck,ND,58502,1911,I,I,$2.5Mil-$5Mil,"19,000",Y,Duane Materi,M,Q,"Secy., Hum. Res. & Off. Mgr.",John Lengenfelder,M,,Treas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MA0460,No,3599,,180077,2020NDMR,NDMR,1997,5, ,AABB,,,
"CHS, INC.",CHS Nutrition,4855 G T A Dr.,Dickinson,ND,58601,7014831277,15,Livestock feed,Eric Bock,M,,Plt. Mgr.,Maggie Cole,F,Q,Acctg. Specialist,7014830135,8004479061,www.chsinc.com,marketing@chsinc.com,,,,,1976,R,C,-,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CHS, Inc.",Inver Grove Heights,MN,6513556000,FE0040,No,2048,,180081,2020NDMR,NDMR,1997,5,U,A1,,5500 Cenex Dr.,55077
