compname,akadba,physaddr,physcity,physstate,physzip,vnumber,loccount,products,exec1,gender1,officermail1,title1,exec2,gender2,officermail2,title2,fnumber,nnumber,web,email,mailaddr,mailcity,mailstate,mailzip,yearestab,distribtyp,ownertype,sales,squarefeet,imports,exec3,gender3,gender3_d,title3,exec4,gender4,gender4_d,title4,exec5,gender5,officermail5,title5,exec6,gender6,officermail6,title6,exec7,gender7,officermail7,title7,exec8,gender8,officermail8,title8,exec9,gender9,officermail9,title9,exec10,gender10,officermail10,title10,parentname,parentcity,parentstat,onumber,header,advertiser,primarysic,sic2,companyid,datasource,bookid,newinyear,priority,addresserror,dpvfootnote,altphone,paddress,pzip5
"BERNIE LITTLE DISTRIBUTORS, INC.",,"4105 Maine Ave., P.O. Box 1128",Eaton Park,FL,33840,8636653615,50,"Distributor of beverages, including domestic & imported beer, nonalcoholic energy drinks & water",Joe Little,M,,CEO,Marla McAulay,F,,Hum. Res. Mgr.,8636658213,8008584283,,,,,,,1973,L,I,,,,Andy Everley,M,,IT Mgr.,Mike Blome,M,,Bus. Dev. Mgr.,Jessica Little,F,Q,Off. Admn.,,,,,,,,,,,,,,,,,,,,,,,,,BE0300,No,5181,5149,2652174,2020FLZZ,ZZWD,2009,3, ,AABB,,,
"AMERICAN SILK FLOWERS, INC.",,6463 W. Hillsborough Ave.,Tampa,FL,33634,8132497137,4,Wholesaler of silk flowers,Thi Nguyen,M,,Pres.,Nhung Truong,F,Q,V-P.,8138808931,,,,,,,,1992,N,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL0595,No,5193,,2652186,2020FLZZ,ZZWD,2009,7, ,AABB,,,
SUN SURGICAL SUPPLY CO.,,302 N.W. 6th St.,Gainesville,FL,32601,3523772696,20,"Wholesaler of medical equipment & supplies, including laboratory & diagnostic equipment, surgical instruments, exam room furniture, diagnostic tests & syringes",Becky Munden,F,Q,Owner,,,,,3523770504,8005231997,www.sunsurgical.com,sunsurg@bellsouth.net,,,,,1983,N,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ME0318,No,5047,,2652188,2020FLZZ,ZZWD,2009,5, ,AABB,,,
"UNITED REFRIGERATION, INC.",,1004 Rosselle St.,Jacksonville,FL,32204,9043540600,4,Wholesaler of heating & air conditioning equipment & supplies,Chris Walser,M,Q,Br. Mgr.,,,,,9043557096,,www.uri.com,info@uri.com,,,,,1990,L,I,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United Refrigeration, Inc.",Philadelphia,PA,2156989100,HV0125,No,5075,,2652195,2020FLZZ,ZZWD,2009,9, ,AABB,,11401 Roosevelt Blvd.,19154
INTERTEK INDUSTRIAL CORP.,,3023 Powers Ave.,Jacksonville,FL,32207,9047393344,13,"Distributor of fasteners, including cabinet installation screws",Scott E. Bradley,M,,Pres.,Lina Acosta,,,Cred. Mgr.,9047393347,8008481043,www.intertekindustrial.com,iic@intertekindustrial.com,,,,,,N,I,,,Y,Melinda Corri,F,Q,Inventory Mgr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FA0360,No,5072,,2652199,2020FLZZ,ZZWD,2009,5, ,AABB,,,
"STONE TILE GROUP, LLC",,"2405 W. Princeton St., Ste. 7",Orlando,FL,32804,4072951890,10,"Distributor of imported Turkish natural stone, travertine, marble & limestone tiles, pavers, copings, moldings & mosaics for retailers, builders, developers, designers, architects, installers & homeowners",Chris Guadagnoli,M,,Pres.,Roger Evans,M,Q,Opers. Mgr.,4072951870,,stonetilegroup.com,info@stonetilegroup.com,,,,,2007,L,I,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST1884,No,5032,,2652201,2020FLZZ,ZZWD,2009,5, ,AABB,,,
"THOMAS MARINE SYSTEMS, INC.",,2200 W. State Road 84,Fort Lauderdale,FL,33312,3056352062,10,Distributor of marine air conditioning & refrigeration systems,"John Thomas, Jr.",M,Q,Pres.,,,,,3056352140,,www.thomasmarinesystems.com,service@thomasmarinesystems.com,,,,,1989,I,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI0120,No,5078,5088,2652204,2020FLZZ,ZZWD,2009,5, ,AABB,,,
"WEBSTER VETERINARY SUPPLY, INC.",,"13631 Progress Blvd., Ste. 100",Alachua,FL,32615,3864186700,50,Wholesaler of veterinary equipment & supplies,Kathy Jarrell,F,,Br. Mgr.,Jim Smith,M,Q,Cust. Serv. Rep.,3864186750,8002257911,www.webstervet.com,info@webstervet.com,,,,,2002,R,C,$1Mil-$2.5Mil,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Patterson Veterinary Supply, Inc.",Greeley,CO,9783536000,VE0365,No,5047,,2652206,2020FLZZ,ZZWD,2009,3, ,AABB,,822 7th St.,80631
"INTERNATIONAL FOOD GROUP, INC.",,"2401 Police Center Dr., Ste. 240",Plant City,FL,33566,8137076161,60,"Distributor of general line groceries, including chicken",Henry Jimenez,M,Q,Pres.,,,,,8137076662,,www.ifoodgroup.com,robogilbee@ifoodgroup.com,,,,,1993,I,C,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSCO Corp.,Houston,TX,2815841390,FO1035,No,5141,,2652207,2020FLZZ,ZZWD,2009,3, ,AABB,,1390 Enclave Pkwy.,77077
"JETRO RESTAURANT DEPOT, LLC","Restaurant Depot, LLC",3500 Davie Rd.,Fort Lauderdale,FL,33312,9545770470,50,"Wholesaler of restaurant supplies, including cooking equipment, refrigerators, cookware & furniture",Sergio Garcia,M,Q,Plt. Mgr.,,,,,9545770490,,www.restaurantdepot.com,info@restaurantdepot.com,,,,,2001,I,L,$1Mil-$2.5Mil,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Restaurant Depot, LLC",College Point,NY,7187628700,RE1100,No,5046,5078,2652208,2020FLZZ,ZZWD,2009,3, ,AABB,,1524 132nd St.,11356
SOUTHEASTERN FOOD SUPPLIES,,2375 Vista Pkwy.,West Palm Beach,FL,33411,5617219333,50,"Distributor of packaged, canned & frozen food products",Ken Yee,M,,Pres.,Howard Chow,M,,V-P.,5617219350,8003432828,www.sefoodsupplies.com,info@sefoodsupplies.com,,,,,1981,R,I,$25Mil,,Y,Anis Chow,F,Q,V-P.,Angela Stiver,F,,Sales Assoc.,,,,,,,,,,,,,,,,,,,,,,,,,Southeastern Food Supplies,Miami,FL,3056882228,FO1035,No,5141,,2652209,2020FLZZ,ZZWD,2009,3, ,AABB,,11077 N.W. 36th Ave.,33167
PRODUCE EXCHANGE CO.,,2801 E. Hillsborough Ave.,Tampa,FL,33610,8132373374,20,Wholesaler of produce,Charlie Grizzaffe,M,,Pres.,Tommy Grizzaffe,M,Q,V-P.,8132384790,8009407326,,charley.proexco@yahoo.com,P.O. Box 11115,Tampa,FL,33680,1948,N,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FR0230,No,5148,,2652211,2020FLZZ,ZZWD,2009,5, ,AABB,,,
"5-D TROPICAL, INC.",,6507 Bob Head Rd.,Plant City,FL,33565,8139864560,80,Wholesaler of live tropical fish,"Joseph Diaz, Jr.",M,,Pres.,Jason Diaz,M,,V-P.,8139866792,8007775353,www.5dtropical.com,fish@5dtropical.com,,,,,1965,N,I,,,Y,Stacey Diaz,F,Q,V-P.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TR0782,No,5199,,2652212,2020FLZZ,ZZWD,2009,3, ,AABB,,,
BURKHARDT SALES & SERVICE,,6125 N.W. 18th Dr.,Gainesville,FL,32653,3523779092,100,Distributor of beer,Brooks Burkhardt,M,,Pres.,Dan Burkhardt,M,,V-P. & Manager,3523772720,,www.abwholesaler.com/burkhardtsales/home,info@abwholesaler.com,,,,,1997,L,I,,,N,Barbara Scotts,F,Q,Off. Mgr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE0300,No,5181,,2652214,2020FLZZ,ZZWD,2009,1, ,AABB,,,
ELITE FLOWER,,"3200 N.W. 67th Ave., Bldg. 2, Ste. 290",Miami,FL,33122,3054367400,20,Distributor of fresh flowers,Juan Carlos,M,Q,Owner,,,,,3054637388,8006625351,www.eliteflower.com,info@eliteflower.com,,,,,,I,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL0450,No,5193,,2652215,2020FLZZ,ZZWD,2009,5, ,AABB,,,
DISCOUNT SECURITY CAMERAS,,5211 Fairmont St.,Jacksonville,FL,32207,9047277680,13,"Distributor of security cameras, CCTV & digital video recorders & DVR security camera equipment",Dave Page,M,,Pres.,Maureen Page,F,Q,V-P.,9047273411,,www.discount-security-cameras.net,sales@discount-security-cameras.net,,,,,2001,N,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SE0277,No,5064,5065,2652227,2020FLZZ,ZZWD,2009,5, ,AABB,,,
FARMA INTERNATIONAL,,9501 Old Dixie Hwy.,Miami,FL,33156,3056704416,20,Distributor of bulk pharmaceutical chemicals & pharmaceutical manufacturing equipment & instruments,George Medina,M,Q,Pres.,,,,,3056704417,,www.farmainternational.com,sales@farmainternational.com,,,,,1993,I,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH0930,No,5169,5084,2652413,2020FLZZ,ZZWD,2009,5,,,,,
ALLIED BUILDING PRODUCTS CORP.,,701 S. Market Ave.,Fort Pierce,FL,34982,7724663461,8,"Distributor of building materials & supplies, including roofing, windows & doors",Jamie Schuddekopf,M,Q,Br. Mgr.,Reinaldo Castro,M,,Trans. Mgr.,7724664542,8004239950,www.alliedbuilding.com,sales@alliedbuilding.com,,,,,2000,L,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allied Building Products Corp.,East Rutherford,NJ,2015078400,BU0243,No,5033,5031,2652529,2020FLZZ,ZZWD,2009,9, ,AABB,,15 E. Union Ave.,7073
"WESCO DISTRIBUTION, INC.",,5971 Pershing Ave.,Orlando,FL,32822,4074344025,10,"Distributor of electrical apparatus, equipment & supplies, including transformers, switches, controls, wire & cable",Russ Reynolds,M,,Manager,Donna Schecker,F,Q,"Sales Rep., Inside",4074344387,,www.wesco.com,sales@wesco.com,,,,,1995,I,C,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wesco Distribution, Inc.",Pittsburgh,PA,4124542200,EL0780,No,5063,,2652530,2020FLZZ,ZZWD,2009,5, ,AABB,,"225 W. Station Square Dr., Ste. 700",15219
"WESCO DISTRIBUTION, INC.",,"70004 Benjamin Rd., Ste. 106",Tampa,FL,33634,8138847860,20,"Distributor of electrical apparatus, equipment & supplies, including transformers, switches, controls, wire & cable",Lee Philips,M,Q,Sales & Sr. Inside Mgr.,,,,,8138847501,,www.wesco.com,sales@wesco.com,,,,,,I,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wesco Distribution, Inc.",Pittsburgh,PA,4124542200,EL0780,No,5063,,2652531,2020FLZZ,ZZWD,2009,5,R,A1,,"225 W. Station Square Dr., Ste. 700",15219
MYGRANT GLASS CO.,,"7552 Chancellor Drive, Ste. 100",Orlando,FL,32809,4078596860,13,Wholesaler of automotive glass,Jose Vieco,M,Q,Br. Mgr.,,,,,4078595408,,www.mygrantglass.com,customerservice@mygrantglass.com,,,,,1998,L,I,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mygrant Glass Co.,Hayward,CA,5107854360,GL0045,No,5013,,2652532,2020FLZZ,ZZWD,2009,5, ,AABB,,3271 Arden Rd.,94545
"JOHNSTONE SUPPLY, INC.",,"1651 S. Rio Grande Ave., P.O. Box 555399",Orlando,FL,32855,4078490573,20,"Wholesaler of air conditioning & HVAC supplies, parts & accessories",Edwin Torres,M,Q,Br. Mgr.,,,,,4078490598,,www.johnstonesupply.com,store58@johnstonesupply.com,,,,,1988,L,I,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Johnstone Supply, Inc.",Portland,OR,5034199100,HV0125,No,5075,,2652535,2020FLZZ,ZZWD,2009,5, ,AABB,,11632 N.E. Ainsworth Cir.,97220
IMAGING SPECIALISTS GROUP,,"10505 N.W. 27th St., Unit 1",Miami,FL,33172,3055918888,10,"Distributor of new & refurbished diagnostic imaging equipment & parts, including ultrasound, MRI & CT scanners",James Winzey,M,Q,Owner,,,,,3055918834,,www.tisg.com,,,,,,2008,I,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ME0318,No,5047,,2652546,2020FLZZ,ZZWD,2009,5, ,AABB,,,
SUNDIAL LTD.,,8901 N. Nebraska Ave.,Tampa,FL,33604,8139604336,50,Distributor of automotive parts,Bob Procida,M,Q,Pres.,,,,,8139602189,8009604336,www.sundialflorida.com,sundial@sundialflorida.com,,,,,1985,I,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU0510,No,5013,,2652547,2020FLZZ,ZZWD,2009,3, ,AABB,,,
"MACKOUL DISTRIBUTORS, INC.",,"3425 N. Main St., P.O. Box 3847",Jacksonville,FL,32206,9043552721,50,"Distributor of frozen, packaged & canned food & tobacco products",Ron Mackoul,M,Q,"Pres. & Fin., IT & Plt. Mgr.",Susan Rose,F,,Hum. Res. Mgr.,9043555311,8003424865,www.mackoul.com,info@mackoul.com,,,,,1983,L,I,$11Mil-$25Mil,,N,Tammy Alexander,F,,Cust. Serv. Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FO1035,No,5141,5194,2652568,2020FLZZ,ZZWD,2009,3,V,AABB,,,
ACS FIRE & SECURITY,,"2460 W. State Road 426, Ste. 1008",Oviedo,FL,32765,4073594041,5,"Distributor of fire alarm & security systems, including CCTV systems",Frank Rodzik,M,Q,Pres.,,,,,4073598437,,www.acsfire.com,acsfire@mac.com,,,,,,L,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SE0277,No,5063,,2652570,2020FLZZ,ZZWD,2009,8,V,AABB,,,
P R DISTRIBUTORS,,1251 Seeds Ave.,Sarasota,FL,34237,9413667080,3,Distributor of PVC pipe,John Pickett,M,,Owner,Donna Shannon,F,Q,Bookkeeper,9413665186,,,,,,,,1973,L,I,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PI0200,No,5162,,2652571,2020FLZZ,ZZWD,2009,9, ,AABB,,,
"DOUBLE EAGLE DISTRIBUTING, INC.",,50 Lock Rd.,Deerfield Beach,FL,33442,9544262970,150,Distributor of domestic & imported beer,James Orthwein,M,,Pres.,Joseph D. Horsfall,M,Q,V-P.,9544276870,,www.doubleeagledist.com,info@doubleeagledist.com,,,,,1984,L,I,,,,Nancy Priest,F,,"Dir., Hum. Res.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE0300,No,5181,,2652574,2020FLZZ,ZZWD,2009,1, ,AABB,,,
SUNCOAST BEVERAGE SALES LTD.,,2996 Hanson St.,Fort Myers,FL,33916,2393343520,150,Distributor of domestic & imported beers,Tim Mitchell,M,Q,CEO,,,,,2393325467,8008792283,suncoastbeverage.com,,,,,,1993,L,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE0300,No,5181,,2652599,2020FLZZ,ZZWD,2009,1, ,AABB,,,
ALBANI PARIS PERFUMES,,1951 N.W. 93rd Rose Ave.,Miami,FL,33174,3055009838,7,Wholesaler of perfumes,Nidal Ghandour,M,,Owner,Ali Ghandour,M,Q,Sales Mgr.,3055009761,,www.albaniperfumes.com,info@albaniperfumes.com,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PE0225,No,5122,,2652613,2020FLZZ,ZZWD,2009,9,U,A1,,,
