compname,akadba,physaddr,physcity,physstate,physzip,vnumber,loccount,products,exec1,gender1,officermail1,title1,exec2,gender2,officermail2,title2,fnumber,nnumber,web,email,mailaddr,mailcity,mailstate,mailzip,yearestab,distribtyp,ownertype,sales,squarefeet,imports,exec3,gender3,gender3_d,title3,exec4,gender4,gender4_d,title4,exec5,gender5,officermail5,title5,exec6,gender6,officermail6,title6,exec7,gender7,officermail7,title7,exec8,gender8,officermail8,title8,exec9,gender9,officermail9,title9,exec10,gender10,officermail10,title10,parentname,parentcity,parentstat,onumber,header,advertiser,primarysic,sic2,companyid,datasource,bookid,newinyear,priority,addresserror,dpvfootnote,altphone,paddress,pzip5
"EASTERN SHORE ENTERPRISES, INC.",,P.O. Box 93447,Phoenix,AZ,85070,4809630111,10,"Multi-line distributor of electrical components & assemblies for the OEM, industrial, marine, trucking, R & D, agricultural & transportation industries",Larry Stackhouse,M,Q,Sales Mgr.,,,,,4809630222,8003734968,www.ese4you.com,sales@ese4you.com,,,,,1994,I,I,$1Mil-$5Mil,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL0620,No,5063,5065,187544,2020AZZZ,ZZWD,2011,5, ,AABB,,,
"TENNEY DOOR & SUPPLY, INC.",,951 W. 3rd St. N.,Snowflake,AZ,85937,9285363340,12,Distributor of wooden doors & windows,Sylvio Garrino,M,Q,GM & Off. Mgr.,,,,,,,,tenneydoor@frontiernet.net,845 W. Snowflake Blvd.,Snowflake,AZ,85937,1995,L,I,"$500,000-$1Mil","4,200",N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DO0256,No,5031,,348667,2020AZZZ,ZZWD,2000,5, ,AABB,,,
PTO SALES/LEAF SPRING SUPPLY/PACIFIC GEAR,,1646 E. University Dr.,Phoenix,AZ,85034,6022529390,25,Distributor of heavy-duty truck parts & hydraulics,Michael Dewey,M,,Regional Mgr.,Frank Schmitt,M,,Fin. Mgr.,6023075964,,www.truckpro.com,customer.service@truckpro.com,,,,,1979,R,L,$1Mil-$5Mil,"10,000",N,Jeremy Pettigrew,M,Q,Parts Mgr.,John Hawthorne,M,,Sales Rep.,,,,,,,,,,,,,,,,,,,,,,,,,"TruckPro, LLC",Cordova,TN,9012524200,TR0910,No,5013,,349915,2020AZZZ,ZZWD,2000,4, ,AABB,,"1900 Charles Bryan Rd., Ste. 100",38016
"POSTER WAREHOUSE, THE",,"2900 E. Broadway Blvd., Ste. 102",Tucson,AZ,85716,5207951963,6,"Distributor of framing, mats & supplies, mirrors, art prints & posters & wood & metal picture framing",William Bowe,M,,Owner,Karen Bowe,F,Q,Sales Mgr.,5207951685,8007955714,www.theposterwarehouse.com,pwposter@dakotacom.net,,,,,1992,N,L,-,"4,300",N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PI0051,No,5199,,350125,2020AZZZ,ZZWD,2000,8, ,AABB,,,
"LUBRICATION EQUIPMENT & SUPPLY CO., INC.",ILEX * Hose Advantage Stores * Racers' Advantage Store,3526 E. Broadway Rd.,Phoenix,AZ,85040,6024371245,39,"Distributor of industrial pumps, custom hose assemblies, performance hose & fittings & automatic lubrication systems for industrial, construction & mining companies",Steve Stroud,M,Q,Pres.,Jan Stroud,F,,V-P.,6024378862,8002280670,www.lubequip.com,lubequip@aol.com,,,,,1981,R,S,$12Mil,"33,000",N,Dave Clark,M,,GM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PU0330,No,5084,5085,351381,2020AZZZ,ZZWD,2000,4, ,AABB,,,
GICON PUMP & EQUIPMENT LTD.,,7506 W. Madison St.,Tolleson,AZ,85353,6239078754,9,"Distributor of pumps, motors, controls & well accessories",Debbie Gardner,F,Q,"Opers. Mgr., Regional",Vance Grant,M,,Fin. & MIS Mgr.,6239078761,8007726265,www.giconpumps.com,debbie.gardner@giconpumps.com,,,,,1979,R,I,$12Mil,"20,000",N,Roger Green,M,,Asst. Mgr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gicon Pumps & Equipment, Inc.",Abernathy,TX,8669982024,PU0240,No,5084,5063,352280,2020AZZZ,ZZWD,2000,8, ,AABB,,17922 N. Interstate 27,79311
"LEWUS ELECTRIC CO., INC.",,1303 W. Red Baron Rd.,Payson,AZ,85541,9284686320,4,"Distributor of phase converters, electronic relays, motors & pumps, including service",James E. Lewus,M,Q,"Pres., R & D Mgr.",Mary E. Lewus,F,,"V-P., Fin. & MIS",9284686321,8668658916,www.lewuselectric.com,lewuselectric@npgcable.com,,,,,1940,R,S,"$500,000-$1Mil","4,000",N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PH0040,No,5063,5065,352362,2020AZZZ,ZZWD,2000,8, ,AABB,,,
"ETTACO, INC.",,1529 E. McNair Dr.,Tempe,AZ,85283,6026846349,2,"Wholesaler of used manufacturing equipment & machinery for electronic & circuit board assembly, including consulting, installation & repair services",David Foster,M,,Pres.,Mark Foster,M,Q,V-P.,,,www.ettaco.com,ettaco@ettaco.com,,,,,1984,I,I,"$500,000-$1Mil",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL0935,No,5084,,352402,2020AZZZ,ZZWD,2000,8, ,AABB,,,
AIR SYSTEM COMPONENTS,,2600 N. Flowing Wells Rd.,Tucson,AZ,85705,5206227601,86,"Distributor of heating, air conditioning & ventilation system components for commercial & residential applications, including air diffusers",Dan Titcombe,M,,Plt. Mgr.,Rafael Garcia,M,,Hum. Res. Mgr.,5208841013,,www.airsysco.com,info@airsysco.com,,,,,1978,I,C,$25Mil-$100Mil,,N,Fred Posler,M,,Matls. Mgr.,Eileen Thompson,F,Q,Cust. Serv. Rep.,,,,,,,,,,,,,,,,,,,,,,,,,"Air Distribution Technologies, Inc.",Plano,TX,9722124888,AI0076,No,5085,,353500,2020AZZZ,ZZWD,2000,3, ,AABB,5207704951,605 Shiloh Rd.,75074
AMARR GARAGE DOORS,,"2125 S. 11th Ave., Ste. 130",Phoenix,AZ,85007,6022719504,7,"Distributor of steel, aluminum, composite & wooden garage doors to licensed residential & commercial overhead garage door installers",Richard Svcha,M,Q,GM,Mark Berragon,M,,Serv. Mgr.,6022719518,,www.amarrgaragedoors.com,marketing@amarr.com,,,,,1953,N,C,-,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amarr Co.,Winston-Salem,NC,3367445100,DO0184,No,5031,,353562,2020AZZZ,ZZWD,2000,8,S,AACC,,165 Carriage Ct.,27105
