compname,akadba,physaddr,physcity,physstate,physzip,vnumber,loccount,products,exec1,gender1,officermail1,title1,exec2,gender2,officermail2,title2,fnumber,nnumber,web,email,mailaddr,mailcity,mailstate,mailzip,yearestab,distribtyp,ownertype,sales,squarefeet,imports,exec3,gender3,gender3_d,title3,exec4,gender4,gender4_d,title4,exec5,gender5,officermail5,title5,exec6,gender6,officermail6,title6,exec7,gender7,officermail7,title7,exec8,gender8,officermail8,title8,exec9,gender9,officermail9,title9,exec10,gender10,officermail10,title10,parentname,parentcity,parentstat,onumber,header,advertiser,primarysic,sic2,companyid,datasource,bookid,newinyear,priority,addresserror,dpvfootnote,altphone,paddress,pzip5
RIDGE AUTO PARTS CO.,,630 Avenue Of Autos,Fort Wayne,IN,46804,2604591650,15,Distributor of automotive parts,Joe Thomas,M,,"Pres., Pur. Agt.",Chris George,F,Q,Off. Mgr.,2604328927,,www.ridgecompany.com,info@ridgecompany.com,,,,,1948,L,S,$1Mil-$5Mil,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU0510,No,5013,,8707,2020INZZ,ZZWD,1990,5, ,AABB,,,
"ORNER & SONS BILLIARD CO., INC., JAY",,6333 Rockville Rd.,Indianapolis,IN,46214,3172430046,15,Distributor of billiard tables,Steve Orner,M,Q,Pres.,Tom Orner,M,,V-P.,3172477743,,www.ornerbilliards.com,rackem@ornerbilliards.com,,,,,1955,N,I,$1Mil-$5Mil,"30,000",N,Rob Parks,M,,Sales Mgr.,Danielle Orner-Whitlock,F,,Fin. & MIS Mgr.,Diana Sparks,F,,Sales Rep.,,,,,,,,,,,,,,,,,,,,,,,,,BI0050,No,5091,,9004,2020INZZ,ZZWD,1990,5, ,AABB,,,
"ARIVA DISTRIBUTION, INC.",,2830 S. Lynhurst Dr.,Indianapolis,IN,46241,3172403500,25,Distributor of paper products,Lisa Hargitt,F,,"Dir., Sales",Dianna Goelz,F,Q,Admn. Coord.,3172400400,8003824608,www.arivanow.com,sales@arivanow.com,,,,,1985,N,I,$1Mil-$5Mil,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ariva Distribution, Inc.",Covington,KY,8592925000,PA1070,No,5113,,9656,2020INZZ,ZZWD,1990,4, ,AABB,,"50 E. River Center Blvd., Ste. 500",41011
"DUTCH VALLEY GROWERS, INC.",,22201 S. U.S. Highway 421,La Crosse,IN,46348,2197541003,6,Wholesaler of onion & shallot bulbs & distributor of seed potatoes & root vegetable plants,James Paarlberg,M,,Pres.,Ryan Paarlberg,,Q,Opers. Mgr.,2199896599,,www.dutchvalleygrowers.com,info@dutchvalleygrowers.com,,,,,1933,I,1,$2.6Mil-$5Mil,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HO0297,No,5153,,17760,2020INZZ,ZZWD,2016,8, ,AABB,,,
PREMIER SCALES & SYSTEMS,Southern Indiana Scales,4901 N. Saint Joseph Ave.,Evansville,IN,47720,8124229838,30,Distributor of industrial scales,"Wayne Hargett, Jr.",M,,Owner,Kelly Austin,,Q,"Dir., Mktg.",8124222986,8004749838,www.premierscales.com,premier@premierscales.com,,,,,1966,L,I,-,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC0082,No,5046,,26760,2020INZZ,ZZWD,1991,4, ,AABB,,,
"LAFAYETTE ELECTRONIC SUPPLY, INC.",,405 N. Earl Ave.,Lafayette,IN,47904,7654479660,5,Distributor of data & communications cable,Ronald Hurst,M,,"Chrm., Pres.",Anita Hines-Hurst,F,,V-P.,7654476967,,www.lafayetteelectronic.com,sales@lafayetteelectronicsupply.com,,,,,1988,N,I,$1Mil-$5Mil,"15,000",N,Carl Abrams,M,Q,Sales Mgr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CA0360,No,5065,,27583,2020INZZ,ZZWD,1991,8,S,AAN1,,,
"ADDRESSING MACHINES & SUPPLY CO., INC.",,940 Virginia Ave.,Indianapolis,IN,46203,3176330520,8,"Distributor of addressing machines, addressograph supplies, parts, ink rollers & ribbons",Martin D. Cole,M,Q,"Pres., Pur., Sales & Mktg. Mgr.",Steven D. Cole,M,,"V-P., Engrg., MIS & R & D",3176330528,8004284595,www.addressingmachines.com,mcole@iei.net,,,,,1935,N,S,$1Mil-$5Mil,"10,000",N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AD0090,No,5084,5085,27817,2020INZZ,ZZWD,1991,8, ,AABB,,,
"ELWOOD FIRE EQUIPMENT CO., INC.",,"1829 S. P St., P.O. Box 285",Elwood,IN,46036,7655527204,4,Wholesaler of firefighting & fire suppression systems,Rick Flanagan,M,Q,Ptnr.,Kimberly Flanagan,F,,Ptnr.,7655527204,,elwoodcity-in.org,,,,,,1950,L,I,"under $500,000",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FI0790,No,5099,,41473,2020INZZ,ZZWD,1992,8, ,AABB,,,
"MICHIANA LIFT EQUIPMENT, INC.",,709 S. Byrkit St.,Mishawaka,IN,46544,5742571665,7,"Distributor of elevator parts & products, including wheelchair lifts",Dennis D. Gadacz,M,Q,"Pres., Treas., CEO","John T. Clemens, Jr.",M,,Engrg. Mgr.,5742570484,,midstateselevatorcompany.com,info@midstateselevatorcompany.com,,,,,1985,R,S,$1.5Mil-$2Mil,"1,700",N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL1417,No,5084,,41932,2020INZZ,ZZWD,1992,8, ,AABB,,,
POWER BRAKE & SPRING SERVICE CO.,,3015 W. Western Ave.,South Bend,IN,46619,5742891044,24,"Distributor of truck & automotive suspension, brake & exhaust parts",William Nolan,M,Q,Pres.,Mike McKinnies,M,,V-P.,5742842624,8002821044,www.power-brake.com,info@power-brake.com,,,,,1952,R,S,$1Mil-$5Mil,,N,Bill Walkers,M,,Sales Mgr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU0510,No,5013,,42669,2020INZZ,ZZWD,1992,5, ,AABB,,,
