compname,akadba,physaddr,physcity,physstate,physzip,vnumber,loccount,products,exec1,gender1,officermail1,title1,exec2,gender2,officermail2,title2,fnumber,nnumber,web,email,mailaddr,mailcity,mailstate,mailzip,yearestab,distribtyp,ownertype,sales,squarefeet,imports,exec3,gender3,gender3_d,title3,exec4,gender4,gender4_d,title4,exec5,gender5,officermail5,title5,exec6,gender6,officermail6,title6,exec7,gender7,officermail7,title7,exec8,gender8,officermail8,title8,exec9,gender9,officermail9,title9,exec10,gender10,officermail10,title10,parentname,parentcity,parentstat,onumber,header,advertiser,primarysic,sic2,companyid,datasource,bookid,newinyear,priority,addresserror,dpvfootnote,altphone,paddress,pzip5
"FRIDAY LUMBER CO., INC.",,1920 Culver Rd.,Tuscaloosa,AL,35401,2053453515,14,"Distributor of building materials for homeowners & professional residential & commercial contractors, including lumber, engineered wood, trusses, roofing, windows, doors, stair parts, hardware, decking, composite materials & power tools",Paul Friday,M,,"V-P., Engrg.",Lynne Friday,F,Q,Off. Mgr.,2053456667,,www.fridaylumbercompany.com,info@fridaylumbercompany.com,P.O. Box 20244,Tuscaloosa,AL,35402,1937,R,I,$1Mil-$2.5Mil,"40,000",N,Jonathan Friday,M,,Sales Rep.,Tom Sims,M,,Sales Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BU0220,No,5031,5033,512,2020ALZZ,ZZWD,1990,5, ,AABB,,,
"WOODGRAIN DISTRIBUTION, INC.",,80 S. Shelby St.,Montevallo,AL,35115,2056652546,142,"Distributor of building materials, including prefinished interior ceiling, floor & wall mouldings, doors & accessories",Tony Means,M,,Plt. Mgr.,Rick Pearson,M,,MIS Mgr.,2056653432,8007560199,www.woodgraindistribution.com,ksenecal@woodgrain.com,,,,,1948,R,I,-,"360,000",Y,Pat Jones,F,Q,Hum. Res. Mgr.,Kevin Senecal,M,,Serv. Ctr. Mgr.,,,,,,,,,,,,,,,,,,,,,,,,,"Woodgrain Distribution, Inc.",Lawrenceville,GA,7702483021,BU0243,No,5031,,592,2020ALZZ,ZZWD,1990,1, ,AABB,,1301 Progress Center Ave.,30043
SHINBAUM'S UNIFORM CO.,,1997 Bell St.,Montgomery,AL,36104,3342650552,3,Wholesaler of uniforms,Steve E. Crum,M,Q,Owner,,,,,3342650552,,,,,,,,1900,I,1,"under $500,000","2,000",N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UN0030,No,5136,5137,1259,2020ALZZ,ZZWD,1990,9, ,AABB,,,
"PATRICK LUMBER CO., INC.",,615 E. Willow St.,Scottsboro,AL,35768,2562592211,20,Distributor of lumber & pallets,"Richard Patrick, Jr.",M,,"Pres., Fin. & MIS Mgr.",Charles Woolsey,M,Q,Sales Mgr.,2562590159,,www.patricklumber.com,,,,,,1926,L,I,$1Mil-$5Mil,"30,000",N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LU0355,No,5031,,1872,2020ALZZ,ZZWD,1990,5, ,AABB,,,
WOODCRAFT SPECIALTIES CO.,,5566 Highway 431 S.,Brownsboro,AL,35741,2565340102,10,Distributor of kitchen cabinets,Joe Perez,M,,"Pres., CEO & CFO",Lee Perez,M,Q,V-P. & Hum. Res. Mgr.,2565340148,,woodspecllc.com,,P.O. Box 800,Huntsville,AL,35804,1976,L,I,$1Mil,"10,000",N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CA0125,No,5031,,2453,2020ALZZ,ZZWD,1990,5, ,AABB,,,
NG INC.,Nolen Glass,501 Locust St.,Gadsden,AL,35901,2565465588,8,"Distributor of commercial & storefront doors & windows, including curtain walls, storm windows, doors, glass & mirrors",Luke Armstrong,M,,"Chrm., Pres.",Gary Johnson,M,Q,Estimator,2565465628,,,nolen.glass@comcast.net,,,,,1985,R,I,$1Mil-$2.5Mil,"5,500",N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WI0066,No,5031,,2609,2020ALZZ,ZZWD,1990,9, ,AABB,,,
"SOUTHERNCARLSON, INC.",,"3747 Government Blvd., Ste. B-4",Mobile,AL,36693,2516611219,3,"Distributor of wood-to-wood fasteners, automated fastening systems & accessories, including cordless, electric, striking, hand, powder-actuated, power & pneumatic tools, sealants, caulks, adhesives, safety supplies & framing hardware",Dennis Chinnis,M,Q,Br. Mgr.,,,,,,,www.southerncarlson.com,sales@southerncarlson.com,,,,,1958,R,I,-,"35,000",N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SouthernCarlson, Inc.",Muscle Shoals,AL,2563813628,FA0510,No,5084,5085,2711,2020ALZZ,ZZWD,1990,9, ,AABB,,635 Fairgrounds Rd.,35661
OFFICE SOLUTIONS AND INNOVATIONS ,,776-A Lakeside Dr.,Mobile,AL,36693,2516667204,10,"Wholesaler of office supplies, including paper",Charles Wilkinson,M,Q,GM & Fin. Mgr.,,,,,2516616209,,www.osi4biz.com,orders@osi4biz.com,,,,,1947,R,I,-,"23,000",N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OF0120,No,5112,,2899,2020ALZZ,ZZWD,1990,5, ,AABB,,,
"VRAZEL CHEMICALS, INC.",,11 N. Broad St.,Mobile,AL,36602,2514389947,3,"Distributor of high-pressure washing & steam cleaning equipment, compressors, paint sprayers & generators, including service",Gerald Vrazel,M,Q,Pres.,Michelle Vrazel,F,,V-P.,2514389948,,,vrazchem@comcast.net,,,,,1969,L,I,"under $500,000","8,000",N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WA0225,No,5084,5087,3546,2020ALZZ,ZZWD,1990,7, ,AABB,,,
MONTGOMERY RUBBER & GASKET,,2521 Midpark Rd.,Montgomery,AL,36109,3342775300,21,"Distributor of rubber gaskets, hoses, mechanical seals, hydraulic motors & pumps",Rick Hill,M,Q,Pres.,,,,,3342775420,,www.montgomeryrubber.com,,,,,,1978,R,I,-,"45,000",N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA0480,No,5085,5084,4139,2020ALZZ,ZZWD,1990,5, ,AABB,,,
