compname,akadba,physaddr,physcity,physstate,physzip,vnumber,loccount,products,exec1,gender1,officermail1,title1,exec2,gender2,officermail2,title2,fnumber,nnumber,web,email,mailaddr,mailcity,mailstate,mailzip,yearestab,distribtyp,ownertype,sales,squarefeet,imports,exec3,gender3,gender3_d,title3,exec4,gender4,gender4_d,title4,exec5,gender5,officermail5,title5,exec6,gender6,officermail6,title6,exec7,gender7,officermail7,title7,exec8,gender8,officermail8,title8,exec9,gender9,officermail9,title9,exec10,gender10,officermail10,title10,parentname,parentcity,parentstat,onumber,header,advertiser,primarysic,sic2,companyid,datasource,bookid,newinyear,priority,addresserror,dpvfootnote,altphone,paddress,pzip5
"E & W TOOL & SUPPLY, INC.",,"465 Fife Rd., P.O. Box 1004",Mulberry,FL,33860,8634253077,22,Distributor of industrial tools & accessories,Steven Trent,M,Q,"Pres., GM",Brian May,M,,Pur. & Sales Mgr.,8634254523,8002262434,www.ewtoolsupply.com,info@ewtoolsupply.com,,,,,1981,L,I,"under $500,000","10,000",N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TO0540,No,5013,,6401,2020FLZZ,ZZWD,1990,5, ,AABB,,,
"NEXAIR, LLC",,403 Zell Dr.,Orlando,FL,32824,4078514711,9,Distributor of compressed gases,Wade Howell,M,Q,Opers. & Plt. Mgr.,,,,,4078512157,,www.nexair.com,info@nexair.com,,,,,1888,R,L,"$500,000-$1Mil","15,000",N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"nexAir, LLC",Memphis,TN,9013965050,GA0380,No,5169,,6449,2020FLZZ,ZZWD,1990,9, ,AABB,,"1350 Concourse Ave., Ste. 103",38104
"COMPRESSED AIR SYSTEMS, INC.",,9303 Stannum St.,Tampa,FL,33619,8136268177,43,"Wholesaler of air compressors, vacuum pumps, sandblasting & used industrial equipment, industrial blowers, accessories & railcar gate openers",Brint Waring,M,,"Pres., MIS Mgr.",Orlando Valverde,M,Q,"Dir., Mktg.",8136280187,8006268177,www.compressedairsystems.com,pogo@compressedairsystems.com,,,,,1963,I,I,$6Mil-$10Mil,"30,000",N,Kyle Randall,M,,Sales Mgr.,Dawn Dalton,F,,Acct. Mgr.,Ginger Waring,F,,Hum. Res. Mgr.,Dan Guerra,M,,Pur. Agt.,,,,,,,,,,,,,,,,,,,,,CO1251,No,5084,5085,6521,2020FLZZ,ZZWD,1990,4,S,AAN1,,,
CASPER ENGINEERING CORP.,,4542 S.W. 71st Ave.,Miami,FL,33155,3056298526,7,Distributor of generator parts,Carlos Camps,M,,"Pres., Engrg. & Opers. Mgr.",Elena Camps,F,Q,Hum. Res. & Sales Mgr.,3056664047,,,sales@casperengineering.com,,,,,1976,L,I,"$500,000-$1Mil","5,500",N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GE0349,No,5063,,7748,2020FLZZ,ZZWD,1990,7, ,AABB,,,
MEL-RAY INDUSTRIES,,"2167 Highway 17 S., P.O. Box 505",Crescent City,FL,32112,3866984414,10,Distributor of screen printing frames,Tony Sanchez,M,,Hum. Res. Mgr.,Chris Hannon,F,Q,Sales Rep.,3866984417,8003678834,www.melray.com,sales@melray.com,,,,,1987,L,I,"$500,000-$1Mil","56,000",N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC0380,No,5046,,12351,2020FLZZ,ZZWD,1991,5, ,AABB,,,
ADVANCED LABELING & MARKING,,15240 N.W. 60th Ave.,Miami Lakes,FL,33014,3055120001,20,"Reseller & distributor of labeling & marking equipment, printers, custom & blank labels, thermal ribbons, ink, markers, inkjet marking devices, label appliers, color label printers & laser marking equipment",Kevin L. Delphus,M,,Pres.,Dennis Delphus,M,Q,"V-P., R & D",3055129099,8004325130,www.advancedlabeling.com,sales@advancedlabeling.com,,,,,1967,N,I,$4Mil,"17,000",N,Sylvia Correa,F,,Off. Mgr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PR0436,No,5084,5112,19577,2020FLZZ,ZZWD,1991,5, ,AABB,,,
"ELECTRO TAPE SPECIALTIES, INC.",,"13221 Byrd Dr., P.O. Box 1014",Odessa,FL,33556,8139202218,19,Distributor of adhesive tapes & protective films,Darren Miller,M,,"Pres., Mktg. Mgr.",Chuck Sincell,M,,"Comp. & Fin., Hum. Res., IT & Opers. Mgr.",8139202272,8009992218,www.electrotape.com,sales@electrotape.com,,,,,1969,N,I,$1Mil-$2.5Mil,"30,000",Y,Lois Golisano,F,Q,Cust. Serv. Mgr.,Debbie Thomas,F,,Cred. Mgr.,Robbie Miller,M,,Traf. Mgr.,,,,,,,,,,,,,,,,,,,,,,,,,TA0520,No,5113,5162,19939,2020FLZZ,ZZWD,1991,5, ,AABB,,,
"GREEN THUMB LANDSCAPING, INC.",,1085 S. John Rhodes Blvd.,Melbourne,FL,32904,3217249552,10,Wholesaler of cypress mulch,Mark Wadsworth,M,Q,Owner,,,,,3217245134,,greenthumbsodmulch.com,donna@greenthumbinc.net,,,,,1966,L,I,$1Mil-$5Mil,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MU0030,No,5031,,25198,2020FLZZ,ZZWD,1991,5, ,AABB,,,
"CORAL PACKAGING, INC.",,"2033 W. McNab Rd., Ste. P",Pompano Beach,FL,33069,9549733833,5,"Wholesaler of packaging, janitorial & maintenance products, including foam & void fill packaging, corrugated boxes, VCI bags, bubble wrap, trash bags, cleaning chemicals & maintenance products",Ellis Braunstein,M,Q,"Pres., Fin. & R & D Mgr.",,,,,9549735943,,www.coralpack.com,copai@coralpack.com,P.O. Box 771944,Coral Springs,FL,33077,1985,R,I,$1Mil-$5Mil,"5,000",N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PA0080,No,5113,5169,26139,2020FLZZ,ZZWD,1991,9, ,AABB,,,
ROTH INTERIORS,,1865 Wilbur Ave.,Vero Beach,FL,32960,7725671210,10,"Distributor of window treatments, drapery & upholstery",Robert Roth,M,,"Ptnr., Hum. Res. & Opers. Mgr.",Mary Roth,F,,Ptnr.,7727781887,,www.rothinteriorswindowfashions.com,rothr@bellsouth.net,,,,,1984,R,1,$1Mil-$2.5Mil,"5,000",N,Jackie McKinnon,F,Q,Off. Mgr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WI0113,No,5023,,39396,2020FLZZ,ZZWD,1992,5, ,AABB,,,
"IMPEX SYSTEMS GROUP, INC.",,2801 N.W. 3rd Ave.,Miami,FL,33127,3055730163,50,Distributor of electrical extension cords,David Weck,M,,Pres.,Elizabeth Weck Alloco,F,,"V-P., Hum. Res.",3055763964,8009330163,,,,,,,1964,N,I,$2.6Mil-$5Mil,"30,000",Y,Diana W. Berenson,F,,"Cont., Fin. Mgr.",Steve Berenson,M,,Sales & Mktg. Mgr.,Gustavo Albor,M,,MIS Mgr.,Edson Mejia,M,,Engrg. & R & D Mgr.,Fernan Torres,M,Q,IDI Processor,,,,,,,,,,,,,,,,,CO3280,No,5063,,39697,2020FLZZ,ZZWD,1992,3, ,AABB,,,
"SUPERIOR LASER PRODUCTS, INC.",,4675 S.W. 45th St.,Davie,FL,33314,9542022097,5,"Distributor of office supplies & equipment, including toner cartridges, inkjets & new & refurbished printers, copiers & fax machines",Debra Smith,F,Q,"Owner, Pres. & MIS Mgr.",Latonya Marzettt,F,,Fin. Mgr.,9542022098,8772022037,,,P.O. Box 26926,Fort Lauderdale,FL,33320,1988,N,S,"under $500,000","1,960",N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OF0030,No,5044,5112,39772,2020FLZZ,ZZWD,1992,7, ,AABB,,,
PAT'S PUMP & BLOWER,,2141 W. Church St.,Orlando,FL,32805,4078417867,17,"Distributor of new & rebuilt centrifugal pumps, PD blowers & parts, electric motors, jetting nozzles, sewer jetting/vacuum trucks & equipment & street sweepers, including maintenance & warranty repair service",Patrick Fender,M,,Pres.,Kevin Fender,M,,V-P.,4076482096,8003597867,www.patspump.com,patspump@aol.com,,,,,1986,R,L,over $5Mil,"20,000",N,Mann Le,M,,Secy-Treas.,David Pace,M,Q,Proj. Mgr.,Mike Fender,M,,Proj. Mgr.,Larry Collins,M,,Proj. Mgr.,Shawn White,M,,Proj. Mgr.,,,,,,,,,,,,,,,,,PU0255,No,5084,5063,66497,2020FLZZ,ZZWD,1993,5, ,AABB,,,
"SERVI-DENT, INC.",,5592 W. Flagler St.,Coral Gables,FL,33134,3052646541,4,Distributor of dental equipment,Rodrigo Echeverri,M,,"Pres., Off. & Opers. Mgr.",Jeannette Echeverri,F,Q,Asst. Mgr.,3052649206,,www.servi-dent.com,servidentrod@aol.com,,,,,1991,I,I,$1.2Mil,"1,800",N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DE0385,No,5047,,67917,2020FLZZ,ZZWD,1993,9, ,AABB,3052612045,,
"SHERWOOD FOOD DISTRIBUTORS, INC.",,12345 N.W. 38th Ave.,Opa Locka,FL,33054,3056527400,100,Wholesaler of poultry,Kevin Darcy,M,,Ex. V-P.,Jeff Stavitsky,M,Q,"V-P., Pur.",3056527401,8002582537,www.sherwoodfoods.com,info@sherwoodfoods.com,,,,,1972,L,I,$5Mil-$10Mil,,Y,Rob Zeman,M,,Cont.,Hien Temkin,F,,Accts. Payable Mgr.,,,,,,,,,,,,,,,,,,,,,,,,,Sherwood Food Distributors,Detroit,MI,3136597300,PO0558,No,5142,,67921,2020FLZZ,ZZWD,1993,1, ,AABB,,12499 Evergreen Ave.,48228
"TNR TECHNICAL, INC.",,301 Central Park Dr.,Sanford,FL,32771,4073213011,10,Distributor of batteries,Wayne Thaw,M,,Pres.,Jerri Steinbach,M,Q,Sales Rep.,4073213208,8003460601,www.tnrbatteries.com,wayne@tnrbatteries.com,,,,,1978,N,I,$9Mil,"8,000",N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA1047,No,5063,,69340,2020FLZZ,ZZWD,1993,5, ,AABB,,,
BORAL ROOFING,,1369 Hammondville Rd.,Pompano Beach,FL,33069,9547865380,6,"Distributor of concrete & clay roofing tile for commercial, infrastructure & residential projects",Jeff King,M,Q,"Sales Mgr., Eastern Reg.",Patricia Fox,F,,Fin. Admn.,,8002242024,www.boralna.com,jeff.king@boral.com,,,,,1987,N,C,-,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boral Roofing, LLC",Irvine,CA,9497561605,RO0465,No,5033,,70266,2020FLZZ,ZZWD,1993,8,,,,"7575 Irvine Center Dr., Ste. 100",92618
"IRRIGATION CONSULTANTS UNLIMITED, INC.",Homeland Irrigation Center,125 43rd Ave.,Vero Beach,FL,32968,7725627227,15,"Distributor of irrigation, water, garden & hardware products",Ruben Koch,M,,Pres.,Sandy Koch,F,Q,"V-P., Secy-Treas. & Off. Mgr.",7725693658,8665927187,www.hic1.com,,,,,,1984,N,S,$2Mil,"6,000",N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IR0183,No,5085,5072,70682,2020FLZZ,ZZWD,1993,5, ,AABB,7727789144,,
"CONCHITA FOODS, INC.",,"10051 N.W. 99th Ave., Ste. 3",Medley,FL,33178,3058889703,50,Distributor of canned vegetables & fruit,Sixto Ferro,M,,Pres.,Pedro Salas,M,Q,Sales Mgr.,3058881020,,www.conchita-foods.com,info@conchita-foods.com,,,,,1964,N,I,$1Mil-$2.5Mil,"40,000",N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FO0151,No,5148,5149,99749,2020FLZZ,ZZWD,1994,3, ,AABB,,,
